stop_id,stop_name,stop_lat,stop_lon,stop_desc,zone_id,stop_url,stop_code,wheelchair_boarding,location_type,parent_station
1,Granet,44.769703,-0.641292,,33192,,GRA43R,1,0,BGRANE
2,Brignon,44.775474,-0.575073,,33550,,BRI21A,1,0,BBRIGN
5,Verts Coteaux,44.834906,-0.512627,,33167,,VRT06A,1,0,BVERTC
7,Bertin,44.815884,-0.565617,,33063,,BER23R,0,0,BBERTI
8,Chemin Long,44.829073,-0.663634,,33281,,CLO49R,0,0,BCLONG
9,Clos des Bruyères,44.815337,-0.691634,,33281,,BRU75A,1,0,BBRUYE
10,Mairie du Taillan Médoc,44.904876,-0.668992,,33519,,LIB55A,1,0,BLIB55
13,Chateaubriand,44.900524,-0.732244,,33449,,CHA53R,1,0,BCHABRI
14,Ste Christine,44.88028,-0.685284,,33200,,SCR53R,1,0,BSCRIST
16,La Morandière (av de Magudas),44.858065,-0.678173,,33281,,MOR82R,1,0,BMORAND
18,Franklin,44.79899,-0.587253,,33522,,FRA34A,1,0,BFRANKL
21,Churchill,44.833764,-0.627587,,33281,,CHU12A,1,0,BCHURCH
26,Monbalon 2,44.803493,-0.666675,,33318,,MON23A,1,0,BMONBA
30,Bobet,44.783007,-0.593231,,33192,,BOB41R,1,0,BBOBET
31,Gare Routière (av du Gal de Gaulle),44.896452,-0.721714,,33449,,GRO53R,1,0,BGROUTE
32,Château Rouquey,44.828015,-0.669745,,33281,,ROU49R,0,0,BCHROUQ
34,Place des 2 Villes (vers Buttinière),44.864356,-0.519502,,33249,,P2V32R,0,0,BP2VIL
36,Russel,44.828613,-0.518389,,33167,,RUS06R,1,0,BRUSSE
38,Grands Moulins,44.853854,-0.5538,,33063,,MOU03R,0,0,BMOULI
39,Fraternité,44.818485,-0.615255,,33318,,FRA47R,1,0,BFRAT47
40,Gambetta Mériadeck,44.841417,-0.584036,,33063,,EAU13A,0,0,BCDEAU
41,Les Sources,44.888354,-0.660558,,33162,,CAR55A,1,0,BCARES
43,Balguerie,44.891084,-0.603312,,33075,,BAL27R,0,0,BBALGUE
44,Les Airelles,44.766464,-0.595324,,33192,,AIR80A,1,0,BAIREL
47,Mirambeau,45.025068,-0.566758,,33004,,MIR92A,0,0,BMIREMB
49,Chemin de Suzon,44.811334,-0.582344,,33522,,CSZ40R,1,0,BCSUZO
50,Clavé,44.79087,-0.656447,,33318,,AHL44R,1,0,BHLEVQU
51,Martouret,44.836653,-0.511508,,33167,,MAR06A,0,0,BMARTO
52,Lestage,44.874558,-0.697723,,33449,,ROU53R,1,0,BROUX
59,Granet,44.769895,-0.641204,,33192,,GRA43A,1,0,BGRANE
61,Bernède,44.878253,-0.677925,,33200,,BER52R,1,0,BBERNED
64,Durcy,44.79943,-0.544168,,33039,,DUR23R,1,0,BDURCY
65,Perrin,44.780201,-0.651198,,33318,,PER44R,1,0,BPERRIN
68,Nouaux,44.855053,-0.530068,,33119,,NOU08A,0,0,BNOUAU
69,Poincaré,44.861858,-0.592945,,33069,,POI57A,0,0,BPOINC
71,Verdot,44.863067,-0.484117,,33013,,VER64A,0,0,BVERDOT
74,Rigaillou,44.757632,-0.582527,,33550,,RIG21R,0,0,BRIGAI
75,Square Prévert,44.912278,-0.517969,,33032,,SQP90A,1,0,BSQPREV
78,Orion,44.874125,-0.692574,,33449,,ORI53A,1,0,BORION
79,Capella,44.872779,-0.687808,,33200,,CAP53A,1,0,BCAPELA
80,Pierre Curie,44.761636,-0.570449,,33550,,CUR21A,0,0,BCURI21
88,Lou Licot,44.757345,-0.736578,,33318,,LIC46A,1,0,BLOULI
90,Monrabeau,44.838738,-0.624881,,33063,,MRA50A,1,0,BMONRAB
92,Peyronnet (côté Pl Meunier),44.828341,-0.561329,,33063,,PEY16A,1,0,BPEYRO
93,La Paillère,44.79555,-0.604665,,33318,,LAP81R,1,0,BLAPAIL
95,Racine,44.793488,-0.584042,,33522,,RAC40R,1,0,BRACI40
96,INRA,44.787624,-0.580883,,33550,,INR21R,1,0,BINRA
100,Polyclinique Bordeaux Nord,44.864538,-0.579455,,33063,,BERT9R,1,0,BBERTHE
103,Rond-Point,44.80518,-0.616715,,33318,,RDP84A,1,0,BRDPOIN
106,La Grave d'Ambarès,44.929974,-0.474028,,33003,,GRA94R,1,0,BGRAVAM
108,Combelongue,44.776801,-0.70125,,33122,,COM46R,0,0,BCOMB46
